PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Q80ZS3,9.746110916,2.408227444,14.52942944,6.620990276,7.252687454,6.110833645,10.65603638,Filtered
Q80ZW2,4.799701214,7.455272675,7.695378304,3.549069881,2.242992401,10.99086761,2.877481937,Filtered
Q80ZX0,18.33919525,9.735367775,10.01621151,18.85633469,5.129846573,10.16983128,4.612818241,Filtered
Q810A7,13.76497936,15.23209381,7.510765553,24.42781067,12.50589466,16.89559174,6.219773769,Filtered
Q810B6,25.6943531,17.97342491,23.17006683,32.64556122,26.22784615,26.75936127,24.17888451,Filtered
Q810D6,0.680408657,2.39050293,Filtered,6.449654102,2.887183189,2.719498158,Filtered,Filtered
Q8BFQ4,53.73711395,24.40956306,Filtered,52.18063354,35.49489212,88.59442902,34.83208466,Filtered
Q8BFQ8,17.77890587,26.34417915,17.56188965,15.98422527,17.74869347,25.09482384,16.19716454,Filtered
Q8BFR4,43.30036926,46.4305191,46.55001068,52.44855499,41.60093307,66.97635651,42.53948593,Filtered
Q8BFR5,586.4785156,367.0775757,629.4742432,229.3811493,632.1774902,302.7554626,537.7303467,Filtered
Q8BFS6;Q8BFS6-2,11.20295048,13.38053131,7.46112299,7.02729845,9.862050056,10.49129963,6.273793697,Filtered
Q8BFW7,117.0032043,180.6601563,112.8860321,150.5878448,122.237381,246.9451141,116.697258,Filtered
Q8BFY6,13.96772766,9.613594055,9.821870804,22.97403145,7.335961819,11.42353535,7.673800945,Filtered
Q8BFY9;Q8BFY9-2,21.55084419,31.0460701,15.32308292,40.30525589,17.38429642,29.89383698,13.98733997,Filtered
Q8BFZ3,17.87490845,1.304935455,27.00694466,18.53911781,22.72507095,8.343673706,6.219809532,Filtered
Q8BFZ9,64.28121948,79.61610413,72.38069153,134.6669922,75.83456421,72.89263916,60.66704941,Filtered
